timestamp,UP,Pressure (Pa)
1382,40007,120968
1882,40008,120971
2382,40007,120968
2882,40007,120968
3382,40005,120962
3883,40006,120965
4382,40006,120965
4882,40007,120968
5382,40006,120965
5882,40006,120965
6382,40006,120965
6882,40005,120962
7382,40007,120968
7882,40007,120968
8382,40006,120965
8882,40007,120968
9382,40006,120965
9882,40007,120968
10382,40004,120958
10882,40005,120962
11382,40006,120965
11882,40003,120955
12382,40005,120962
12882,40004,120958
13382,40004,120958
13882,40005,120962
14382,40002,120952
14882,40004,120958
15382,40003,120955
15882,40006,120965
16382,40004,120958
16882,40006,120965
17382,40006,120965
17882,40004,120958
18382,40003,120955
18882,40003,120955
19382,40004,120958
19883,40004,120958
20382,40004,120958
20882,40004,120958
21382,40003,120955
21882,40002,120952
22382,40002,120952
22882,40002,120952
23382,40001,120950
23882,40002,120952
24382,40002,120952
24882,40002,120952
25382,40003,120955
25882,40000,120947
26382,40002,120952
26882,40000,120947
27382,40001,120950
27882,40002,120952
28382,40003,120955
28882,40002,120952
29382,40002,120952
29882,40004,120958
30382,40000,120947
30882,40001,120950
31382,40002,120952
31882,40000,120947
32382,40000,120947
32882,40002,120952
33382,39998,120941
33882,40001,120950
34382,40000,120947
34882,40000,120947
35382,39999,120944
35883,40001,120950
36382,40000,120947
36882,40000,120947
37382,40002,120952
37882,40002,120952
38382,39998,120941
38882,40001,120950
39382,40000,120947
39882,40001,120950
40382,39998,120941
40882,40000,120947
41382,39999,120944
41882,40001,120950
42382,40003,120955
42882,39998,120941
43382,40000,120947
43882,39999,120944
44382,39999,120944
44882,39999,120944
45382,39998,120941
45882,39998,120941
46382,39997,120938
46882,39998,120941
47382,39995,120932
47882,39998,120941
48382,39997,120938
48882,39998,120941
49382,39997,120938
49882,39997,120938
50382,39994,120929
50882,39999,120944
51382,39995,120932
51883,39996,120935
52382,39996,120935
52882,39996,120935
53382,39998,120941
53882,39997,120938
54382,39994,120929
54882,39993,120926
55382,39995,120932
55882,39995,120932
56382,39994,120929
56882,39994,120929
57382,39996,120935
57882,39991,120920
58382,39992,120923
58882,39992,120923
59382,39993,120926
59882,39994,120929
60382,39990,120917
60882,39993,120926
61382,39991,120920
61882,39991,120920
62382,39992,120923
62882,39990,120917
63382,39992,120923
63882,39993,120926
64382,39988,120911
64882,39988,120911
65382,39991,120920
65882,39990,120917
66382,39988,120911
66882,39989,120914
67382,39986,120904
67883,39986,120904
68382,39989,120914
68882,39988,120911
69382,39985,120901
69882,39988,120911
70382,39985,120901
70882,39989,120914
71382,39986,120904
71882,39989,120914
72382,39987,120908
72882,39986,120904
73382,39984,120898
73882,39985,120901
74382,39984,120898
74882,39984,120898
75382,39984,120898
75882,39983,120895
76382,39983,120895
76882,39985,120901
77382,39983,120895
77882,39985,120901
78382,39984,120898
78882,39980,120886
79382,39982,120892
79882,39982,120892
80382,39984,120898
80882,39984,120898
81382,39982,120892
81882,39984,120898
82382,39983,120895
82882,39981,120889
83382,39979,120883
83883,39978,120880
84382,39979,120883
84882,39978,120880
85382,39981,120889
85882,39979,120883
86382,39977,120877
86882,39976,120874
87382,39980,120886
87882,39980,120886
88382,39981,120889
88882,39980,120886
89382,39983,120895
89882,39980,120886
90382,39980,120886
90882,39976,120874
91382,39974,120868
91882,39979,120883
92382,39977,120877
92882,39976,120874
93382,39977,120877
93882,39976,120874
94382,39975,120871
94882,39973,120862
95382,39973,120862
95882,39972,120859
96382,39974,120868
96882,39970,120853
97382,39970,120853
97882,39971,120856
98382,39969,120850
98882,39967,120843
99382,39967,120843
99883,39965,120838
100382,39966,120841
100882,39968,120847
101382,39970,120853
101882,39968,120847
102382,39968,120847
102882,39971,120856
103382,39966,120841
103882,39967,120843
104382,39967,120843
104882,39968,120847
105382,39966,120841
105882,39969,120850
106382,39968,120847
106882,39965,120838
107382,39966,120841
107882,39964,120835
108382,39962,120829
108882,39965,120838
109382,39962,120829
109882,39966,120841
110382,39962,120829
110882,39964,120835
111382,39965,120838
111882,39963,120832
112382,39960,120823
112882,39961,120826
113382,39958,120817
113882,39960,120823
114382,39959,120820
114882,39957,120814
115382,39960,120823
115883,39958,120817
116382,39957,120814
116882,39957,120814
117382,39961,120826
117882,39958,120817
118382,39959,120820
118882,39957,120814
119382,39960,120823
119882,39957,120814
120382,39957,120814
120882,39958,120817
121382,39959,120820
121882,39957,120814
122382,39956,120811
122882,39957,120814
123382,39956,120811
123882,39955,120808
124382,39954,120805
124882,39956,120811
125382,39958,120817
125882,39955,120808
126382,39957,120814
126882,39956,120811
127382,39954,120805
127882,39954,120805
128382,39952,120799
128882,39954,120805
129382,39954,120805
129882,39952,120799
130382,39950,120793
130882,39951,120796
131382,39952,120799
131883,39951,120796
132382,39952,120799
132882,39951,120796
133382,39950,120793
133882,39950,120793
134382,39952,120799
134882,39948,120786
135382,39950,120793
135882,39948,120786
136382,39948,120786
136882,39948,120786
137382,39948,120786
137882,39949,120790
138382,39946,120780
138882,39943,120771
139382,39947,120783
139882,39945,120777
140382,39942,120768
140882,39942,120768
141382,39944,120774
141882,39944,120774
142382,39944,120774
142882,39944,120774
143382,39944,120774
143882,39941,120765
144382,39942,120768
144882,39941,120765
145382,39941,120765
