timestamp,UP
1382,40007
1882,40008
2382,40007
2882,40007
3382,40005
3883,40006
4382,40006
4882,40007
5382,40006
5882,40006
6382,40006
6882,40005
7382,40007
7882,40007
8382,40006
8882,40007
9382,40006
9882,40007
10382,40004
10882,40005
11382,40006
11882,40003
12382,40005
12882,40004
13382,40004
13882,40005
14382,40002
14882,40004
15382,40003
15882,40006
16382,40004
16882,40006
17382,40006
17882,40004
18382,40003
18882,40003
19382,40004
19883,40004
20382,40004
20882,40004
21382,40003
21882,40002
22382,40002
22882,40002
23382,40001
23882,40002
24382,40002
24882,40002
25382,40003
25882,40000
26382,40002
26882,40000
27382,40001
27882,40002
28382,40003
28882,40002
29382,40002
29882,40004
30382,40000
30882,40001
31382,40002
31882,40000
32382,40000
32882,40002
33382,39998
33882,40001
34382,40000
34882,40000
35382,39999
35883,40001
36382,40000
36882,40000
37382,40002
37882,40002
38382,39998
38882,40001
39382,40000
39882,40001
40382,39998
40882,40000
41382,39999
41882,40001
42382,40003
42882,39998
43382,40000
43882,39999
44382,39999
44882,39999
45382,39998
45882,39998
46382,39997
46882,39998
47382,39995
47882,39998
48382,39997
48882,39998
49382,39997
49882,39997
50382,39994
50882,39999
51382,39995
51883,39996
52382,39996
52882,39996
53382,39998
53882,39997
54382,39994
54882,39993
55382,39995
55882,39995
56382,39994
56882,39994
57382,39996
57882,39991
58382,39992
58882,39992
59382,39993
59882,39994
60382,39990
60882,39993
61382,39991
61882,39991
62382,39992
62882,39990
63382,39992
63882,39993
64382,39988
64882,39988
65382,39991
65882,39990
66382,39988
66882,39989
67382,39986
67883,39986
68382,39989
68882,39988
69382,39985
69882,39988
70382,39985
70882,39989
71382,39986
71882,39989
72382,39987
72882,39986
73382,39984
73882,39985
74382,39984
74882,39984
75382,39984
75882,39983
76382,39983
76882,39985
77382,39983
77882,39985
78382,39984
78882,39980
79382,39982
79882,39982
80382,39984
80882,39984
81382,39982
81882,39984
82382,39983
82882,39981
83382,39979
83883,39978
84382,39979
84882,39978
85382,39981
85882,39979
86382,39977
86882,39976
87382,39980
87882,39980
88382,39981
88882,39980
89382,39983
89882,39980
90382,39980
90882,39976
91382,39974
91882,39979
92382,39977
92882,39976
93382,39977
93882,39976
94382,39975
94882,39973
95382,39973
95882,39972
96382,39974
96882,39970
97382,39970
97882,39971
98382,39969
98882,39967
99382,39967
99883,39965
100382,39966
100882,39968
101382,39970
101882,39968
102382,39968
102882,39971
103382,39966
103882,39967
104382,39967
104882,39968
105382,39966
105882,39969
106382,39968
106882,39965
107382,39966
107882,39964
108382,39962
108882,39965
109382,39962
